epoch,Train SISNR,Test SISNR,Train CL Loss
1,-11.68055101,-5.019751632,-0.43106764
2,-4.591052562,-2.068761281,-0.529836526
3,-2.669087738,-0.547606248,-0.565883758
4,-1.661650421,0.204504988,-0.602343939
5,-1.108411776,0.834725744,-0.631509895
6,-0.56887917,1.335346444,-0.660266245
7,-0.094708281,1.837911803,-0.681123471
8,0.119842135,1.913344452,-0.694026584
9,0.601726744,2.227357948,-0.721033294
10,0.759018602,2.335851895,-0.737106066
11,1.074722444,2.633992534,-0.751824379
12,1.472552918,2.863404471,-0.771425495
13,1.456632778,3.062755042,-0.775330216
14,1.770809535,3.079387462,-0.793214101
15,1.867116403,3.443781642,-0.800626995
16,2.213329375,3.690442173,-0.814235386
17,2.331651557,3.725187508,-0.820842983
18,2.758107416,3.945145488,-0.835191894
19,2.766368791,4.093936773,-0.837915273
20,3.067372449,4.241340017,-0.848297372
21,3.248111531,4.532743891,-0.854981994
22,3.413410522,4.688001951,-0.860482875
23,3.511350378,4.796995099,-0.864297569
24,3.723877706,4.79454248,-0.870383736
25,3.778272159,5.108443193,-0.874453634
26,3.887800649,5.077377605,-0.877442192
27,3.91639927,5.177357558,-0.879863942
28,4.082160324,5.080662147,-0.883916682
29,4.250797205,5.335827676,-0.88911921
30,4.251714341,5.4900033,-0.891977936
31,4.363016583,5.433945417,-0.895271802
32,4.313791499,5.480732946,-0.896598307
33,4.531903833,5.525278083,-0.900671981
34,4.480172314,5.568180124,-0.901663197
35,4.649850145,5.722357798,-0.905054573
36,4.526576281,5.763239853,-0.905154655
37,4.751834773,5.74119974,-0.907836778
38,4.818122447,5.793902572,-0.910791753
39,4.896004379,6.001974519,-0.911446329
40,4.917592421,6.153632768,-0.913609592
41,4.891947389,5.965813057,-0.913790463
42,4.993011683,5.934991288,-0.916078279
43,5.048304662,6.069311229,-0.91746299
44,5.117260695,6.218233991,-0.918521306
45,5.264778852,5.946841081,-0.922029559
46,5.14935492,6.147279414,-0.921782834
47,5.202893972,6.163038047,-0.921480047
48,5.141840786,6.321583541,-0.921731913
49,5.367911503,6.31690108,-0.924146691
50,5.364905655,6.270587953,-0.92557162
