Train SISNR,Test SISNR,Train CL Loss,epoch
-7.851229329,-2.512469189,-0.561307879,1
-0.952405907,-1.136255432,-0.649910873,2
-0.018666491,-0.491046047,-0.696431129,3
0.654027142,-0.122191229,-0.730321307,4
1.137961748,0.360439896,-0.750128961,5
1.530843527,0.638848916,-0.768060157,6
1.986531696,1.009659952,-0.788366254,7
2.222353697,1.21908811,-0.803063125,8
2.482381044,1.35640546,-0.820741715,9
2.665128746,1.715622214,-0.834380546,10
2.938890219,1.802277671,-0.850965046,11
3.200606292,2.086275467,-0.862092676,12
3.477613141,2.333207304,-0.872664663,13
3.556707859,2.552546665,-0.880909081,14
3.791416114,2.642295097,-0.886567833,15
4.10462934,2.975050874,-0.894505445,16
4.324669953,3.079117579,-0.898940234,17
4.526001192,3.27024981,-0.904824889,18
4.727897621,3.340208956,-0.909709729,19
4.892831487,3.595837461,-0.913643351,20
5.025031736,3.567046089,-0.916241652,21
5.106148781,3.628017064,-0.919953406,22
5.179398152,3.625927123,-0.922646801,23
5.387977385,3.670451347,-0.926384397,24
5.450355991,3.805767062,-0.928000148,25
5.506771088,4.033269547,-0.929826671,26
5.636296672,4.174932806,-0.932232924,27
5.776777283,4.026779069,-0.935368125,28
5.785369458,4.048641199,-0.93509876,29
5.789754744,4.061779726,-0.936243811,30
5.953695097,4.247141434,-0.938030595,31
6.005209046,4.226649687,-0.939723478,32
6.074984089,4.153134181,-0.940800801,33
6.117454729,4.433908759,-0.941324007,34
6.163099504,4.372514408,-0.941923099,35
6.16176193,4.422214104,-0.941796091,36
6.246644897,4.453616781,-0.942540855,37
6.287122557,4.415533429,-0.942889648,38
6.306218147,4.503479343,-0.942373668,39
6.370185621,4.459742476,-0.944788177,40
6.369344019,4.549033495,-0.944457152,41
6.493988299,4.600471383,-0.945098091,42
6.587980947,4.634326752,-0.946264023,43
6.58078349,4.624164822,-0.945799301,44
6.578457679,4.776444191,-0.945332979,45
6.709895672,4.618296977,-0.946650363,46
6.723994655,4.688947146,-0.945881982,47
6.730220472,4.832948545,-0.945875393,48
6.771630764,4.609115863,-0.947336655,49
6.807081038,4.40797868,-0.946925494,50
6.976366828,4.610254274,-0.948336503,51
6.895965115,4.447903747,-0.947877301,52
7.01327024,4.721643176,-0.948386661,53
6.979182459,4.66227415,-0.948309604,54
6.933815818,4.661919859,-0.947782728,55
6.997418788,4.556884525,-0.947910832,56
7.013231508,4.755677424,-0.94879629,57
7.127977187,4.564075797,-0.949226935,58
7.030033358,4.870305622,-0.948150917,59
7.062093442,4.970318882,-0.948782915,60
7.105365076,4.80378847,-0.94975017,61
7.262989521,4.643764594,-0.950238497,62
7.13672158,4.80331791,-0.949748618,63
7.2041907,4.792994867,-0.949523314,64
7.212102921,4.683176283,-0.949320593,65
7.288454717,4.959020954,-0.95056837,66
7.232919462,4.916796347,-0.950422314,67
7.266433762,4.900940407,-0.949548002,68
7.312690043,4.765201788,-0.949956921,69
7.307508915,4.929664463,-0.949985098,70
7.33661667,5.021185668,-0.950882631,71
7.407058993,4.837318486,-0.950923987,72
7.418277694,4.926017899,-0.951155918,73
7.416164306,5.150526026,-0.951326411,74
7.392947335,4.844716627,-0.950416103,75
7.485847181,4.925534968,-0.950861933,76
7.483124764,4.931755285,-0.95158054,77
7.415645538,4.943796581,-0.951150744,78
7.60861163,5.013954919,-0.951968605,79
7.55219701,4.59665364,-0.951712978,80
7.420068925,5.071811784,-0.951009685,81
7.537461265,4.999860512,-0.951432234,82
7.564432313,4.980486726,-0.950840779,83
7.570140346,5.013152458,-0.951486132,84
7.629764849,5.061660031,-0.951502464,85
7.651533311,5.203927472,-0.95148126,86
7.658390907,4.892341841,-0.95112915,87
7.633348511,4.954385309,-0.95155317,88
7.695796274,4.934666729,-0.9521555,89
7.736888055,4.997970484,-0.952158145,90
7.656465961,4.897305755,-0.950927123,91
7.738632617,5.080725251,-0.952032445,92
7.747339172,4.874952193,-0.951993085,93
7.574535447,5.25025041,-0.951161087,94
7.800719169,5.276911208,-0.951924276,95
7.730964691,5.095714312,-0.9514605,96
7.902432596,4.997543471,-0.953008644,97
7.782220564,5.025866989,-0.95134449,98
7.632237265,5.188508507,-0.950325141,99
7.832492567,5.24213272,-0.953100454,100
7.834709321,5.057805151,-0.952465296,101
7.83958149,5.023219435,-0.952611954,102
7.852880647,4.992294345,-0.952462056,103
7.89165986,5.19641424,-0.95228584,104
7.928048718,5.133925296,-0.952107305,105
7.834344525,5.154459389,-0.951785451,106
7.922947038,5.166756071,-0.951973904,107
7.963150855,5.152610194,-0.952257349,108
7.933264302,5.009023732,-0.951824817,109
7.909821464,5.319351267,-0.951979453,110
8.046590067,4.934051955,-0.951772173,111
8.059656066,5.081819538,-0.951667292,112
7.965279825,5.323346928,-0.95088206,113
8.009957729,4.909640326,-0.95007345,114
8.19873859,5.178109476,-0.950892573,115
8.070928681,5.080680661,-0.950671163,116
8.148916829,5.181819855,-0.95037792,117
8.208658726,4.96372645,-0.950682221,118
8.085027956,4.904247334,-0.950299842,119
8.202639949,5.162551589,-0.950594741,120
8.11930618,5.169529386,-0.949390154,121
8.168289,5.25264056,-0.949790832,122
8.296785401,5.213256765,-0.950459882,123
8.316869966,5.147024205,-0.950896392,124
8.332509348,5.076271735,-0.950194813,125
8.282214949,5.291213306,-0.94993375,126
8.347540609,5.26180554,-0.950478706,127
8.310961739,5.293698546,-0.94981241,128
8.306310669,5.169290701,-0.949048221,129
8.347163708,4.990102394,-0.949305279,130
8.378608919,5.357953211,-0.948417016,131
8.405107975,5.235958993,-0.948398054,132
8.430416215,5.01741509,-0.948763447,133
8.367416643,5.029919488,-0.947760859,134
8.487933728,5.296768257,-0.94941552,135
8.468397356,5.029714635,-0.948040828,136
8.469425201,5.196047485,-0.947484689,137
