Train SISNR,Test SISNR,Train CL Loss
8.374,8.168,-0.967
8.411,8.055,-0.968
8.388,8.095,-0.968
8.392,8.113,-0.967
8.433,8.048,-0.967
8.492,7.999,-0.967
8.500,8.302,-0.966
8.527,8.129,-0.967
8.498,8.188,-0.967
8.581,8.181,-0.967
8.550,8.170,-0.967
8.529,8.234,-0.966
8.521,8.385,-0.967
8.555,8.324,-0.967
8.558,8.160,-0.967
8.567,8.188,-0.967
8.531,8.215,-0.966
8.577,7.862,-0.966
8.597,8.139,-0.966
8.573,8.140,-0.967
8.563,8.230,-0.966
8.647,8.133,-0.967
8.624,8.375,-0.967
8.664,8.267,-0.967
8.692,8.308,-0.966
8.602,8.101,-0.966
8.689,8.359,-0.966
8.633,8.439,-0.966
8.755,8.392,-0.966
8.685,8.107,-0.965
8.769,8.385,-0.966
8.813,8.211,-0.965
8.636,8.234,-0.965
8.828,8.317,-0.965
8.766,8.134,-0.966
8.752,8.176,-0.965
8.814,8.153,-0.966
8.776,8.210,-0.966
8.683,8.378,-0.965
8.876,7.866,-0.965
8.756,8.270,-0.964
8.874,8.161,-0.965
8.901,8.403,-0.965
8.830,8.192,-0.965
8.846,8.293,-0.965
8.848,8.199,-0.965
8.924,8.492,-0.964
8.989,8.327,-0.964
8.874,8.354,-0.965
8.848,8.472,-0.965
8.878,8.383,-0.964
8.833,8.455,-0.964
8.919,8.419,-0.964
8.858,8.327,-0.964
8.818,8.607,-0.964
9.020,8.143,-0.964
8.966,8.375,-0.964
8.915,8.308,-0.965
9.042,8.457,-0.965
8.974,8.410,-0.965
9.009,8.191,-0.963
8.947,8.546,-0.963
9.050,8.394,-0.964
8.993,8.647,-0.964
9.052,8.551,-0.965
8.962,8.246,-0.965
9.046,8.102,-0.965
9.099,8.433,-0.964
9.148,8.478,-0.965
9.088,8.269,-0.965
9.079,8.431,-0.965
9.141,8.506,-0.964
9.134,8.255,-0.964
9.069,8.443,-0.964
9.089,8.498,-0.964
9.148,8.517,-0.964
